Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jon Rahm (16323527),Jon Rahm,16323527,G,10500,Waste Management Phoenix Open,Golf,91
G,Justin Thomas (16323528),Justin Thomas,16323528,G,10300,Waste Management Phoenix Open,Golf,93.79
G,Xander Schauffele (16323529),Xander Schauffele,16323529,G,10100,Waste Management Phoenix Open,Golf,100.08
G,Webb Simpson (16323530),Webb Simpson,16323530,G,9800,Waste Management Phoenix Open,Golf,91
G,Rory McIlroy (16323531),Rory McIlroy,16323531,G,9600,Waste Management Phoenix Open,Golf,88.17
G,Daniel Berger (16323532),Daniel Berger,16323532,G,9500,Waste Management Phoenix Open,Golf,87.08
G,Will Zalatoris (16323533),Will Zalatoris,16323533,G,9400,Waste Management Phoenix Open,Golf,91.96
G,Hideki Matsuyama (16323534),Hideki Matsuyama,16323534,G,9300,Waste Management Phoenix Open,Golf,74.06
G,Sungjae Im (16323535),Sungjae Im,16323535,G,9200,Waste Management Phoenix Open,Golf,79.79
G,Ryan Palmer (16323536),Ryan Palmer,16323536,G,9100,Waste Management Phoenix Open,Golf,91.57
G,Harris English (16323537),Harris English,16323537,G,9000,Waste Management Phoenix Open,Golf,83.33
G,Scottie Scheffler (16323538),Scottie Scheffler,16323538,G,8900,Waste Management Phoenix Open,Golf,65
G,Louis Oosthuizen (16323539),Louis Oosthuizen,16323539,G,8800,Waste Management Phoenix Open,Golf,68.67
G,Bubba Watson (16323540),Bubba Watson,16323540,G,8700,Waste Management Phoenix Open,Golf,69.5
G,Brooks Koepka (16323541),Brooks Koepka,16323541,G,8600,Waste Management Phoenix Open,Golf,56.75
G,Rickie Fowler (16323542),Rickie Fowler,16323542,G,8500,Waste Management Phoenix Open,Golf,59.25
G,Russell Henley (16323543),Russell Henley,16323543,G,8400,Waste Management Phoenix Open,Golf,75.62
G,Gary Woodland (16323544),Gary Woodland,16323544,G,8300,Waste Management Phoenix Open,Golf,42.93
G,Billy Horschel (16323545),Billy Horschel,16323545,G,8200,Waste Management Phoenix Open,Golf,73
G,Matthew Wolff (16323546),Matthew Wolff,16323546,G,8100,Waste Management Phoenix Open,Golf,69.07
G,Si Woo Kim (16323547),Si Woo Kim,16323547,G,8000,Waste Management Phoenix Open,Golf,71
G,Corey Conners (16323548),Corey Conners,16323548,G,8000,Waste Management Phoenix Open,Golf,71.3
G,Carlos Ortiz (16323549),Carlos Ortiz,16323549,G,7900,Waste Management Phoenix Open,Golf,78.8
G,Chris Kirk (16323550),Chris Kirk,16323550,G,7900,Waste Management Phoenix Open,Golf,77.9
G,Max Homa (16323551),Max Homa,16323551,G,7800,Waste Management Phoenix Open,Golf,58.94
G,Sepp Straka (16323552),Sepp Straka,16323552,G,7800,Waste Management Phoenix Open,Golf,74.09
